deal_id,close_date,company_name,industry,company_size,deal_value,outcome,competitor,sales_rep,sales_cycle_days,lead_source,product_tier,primary_reason,persona,use_case,pain_point,trigger_event,department_initiating
D012,2025-03-02,Luminary SaaS,Technology,200,27000,Lost,HubSpot,Sarah Kim,50,Event,Professional,Product missing key feature,Director of Engineering,Developer workflow automation,Slow release cycles,Series B funding round,Engineering
D013,2025-03-06,Meridian Pharma,Healthcare,1500,132000,Won,Oracle,Rachel Torres,100,Partner Referral,Enterprise,Data security posture,CIO,Clinical trial data management,Insecure data sharing with CROs,FDA audit preparation,IT
D014,2025-03-10,Northgate Education,Education,400,36000,Won,Blackbaud,Marcus Lee,65,Inbound,Professional,Pricing flexibility,VP of Operations,Student lifecycle management,Manual enrollment and tracking,Enrollment growth outpaced staff,Operations
D015,2025-03-14,Oasis Travel,Hospitality,85,12000,Lost,Zoho,James Patel,30,Cold Outreach,Starter,Competitor free tier,Operations Manager,Booking & reservation management,Double-bookings and no-shows,Peak season revenue loss,Operations
D016,2025-03-18,Pinnacle Realty,Real Estate,220,24500,Won,None,Sarah Kim,38,Referral,Professional,Champion advocate,COO,Property portfolio management,No single view of portfolio performance,Private equity acquisition,Finance
D017,2025-03-21,Quantum Fintech,Financial Services,350,47000,Lost,Salesforce,Rachel Torres,80,Event,Enterprise,Lost executive sponsor,Director of Finance,Revenue analytics & forecasting,Inaccurate revenue forecasts,Missed quarterly targets,Finance
D018,2025-03-26,Redwood Biotech,Healthcare,700,82000,Won,Veeva,Marcus Lee,95,Inbound,Enterprise,Better ROI demonstrated,VP of IT,Lab data & compliance tracking,Manual lab data entry causing errors,ISO 13485 certification push,IT
D019,2025-03-31,Steelpoint Auto,Automotive,1800,121000,Lost,SAP,James Patel,105,Cold Outreach,Enterprise,Budget cut,VP of Operations,Supply chain optimization,Supplier delays impacting production,CFO budget freeze,Operations
D020,2025-04-04,Titan E-Commerce,Retail,430,39000,Won,Shopify,Sarah Kim,58,Inbound,Professional,Deep Shopify integration,VP of Digital,E-commerce analytics & ops,Poor visibility into online channel performance,Shopify migration completed,Digital/Marketing
D021,2025-04-08,Unity Nonprofits,Nonprofit,110,16000,Won,Blackbaud,Marcus Lee,42,Partner Referral,Professional,Nonprofit pricing,Executive Director,Donor management & fundraising,Losing track of donor relationships,Annual fundraising campaign failure,Development
D022,2025-04-12,Vertex Cloud,Technology,95,13500,Lost,HubSpot,Rachel Torres,33,Inbound,Starter,Product fit unclear,Engineering Manager,DevOps pipeline visibility,Deployment failures with no audit trail,SOC 2 audit requirement,Engineering
D023,2025-04-16,Wavecrest Shipping,Logistics,650,61000,Won,Oracle,James Patel,82,Referral,Enterprise,Supply chain features,COO,End-to-end supply chain visibility,No single source of truth across ports,New port contract signed,Operations
D024,2025-04-21,Xcelerate HR,Professional Services,180,21000,Lost,Workday,Sarah Kim,55,Event,Professional,Workday ecosystem lock-in,HR Director,Workforce planning & HR analytics,Headcount planning done in spreadsheets,Rapid hiring push,HR
D025,2025-04-25,Yellowstone Mining,Energy,2500,178000,Won,SAP,Rachel Torres,130,Executive Outreach,Enterprise,Custom implementation offer,CTO,Asset & maintenance management,Unplanned equipment downtime,Safety incident triggered board review,Operations
D026,2025-05-02,Zenith Apparel,Retail,270,29500,Lost,Zoho,Marcus Lee,48,Cold Outreach,Professional,Price sensitivity,Operations Manager,Wholesale order management,Manual order processing causing errors,New wholesale channel launched,Operations
D027,2025-05-07,Abacus Accounting,Financial Services,55,10500,Won,QuickBooks,James Patel,25,Inbound,Starter,Feature depth,CEO,Accounting & invoicing automation,Spending too much time on manual invoicing,Accountant quit,Finance
D028,2025-05-12,Beacon Healthcare,Healthcare,980,94000,Won,Oracle,Sarah Kim,98,Partner Referral,Enterprise,Security certifications,CISO,Patient data security & compliance,HIPAA violation risk exposure,Ransomware attack on peer hospital,IT/Security
D029,2025-05-16,Cascade Engineering,Manufacturing,380,43000,Lost,Salesforce,Rachel Torres,70,Event,Professional,Competitor demo was stronger,Director of Operations,Production scheduling & MES,Production bottlenecks from poor scheduling,New plant manager hired,Operations
D030,2025-05-20,Delta Telecom,Technology,1100,102000,Won,Salesforce,Marcus Lee,88,Inbound,Enterprise,Better support SLA,CTO,Customer support operations,Support ticket SLAs consistently missed,Enterprise customer churn warning,Customer Success
D031,2025-05-24,Echo Publishing,Media,140,19000,Lost,HubSpot,James Patel,44,Cold Outreach,Professional,No budget approval,Marketing Manager,Content performance analytics,No insight into content ROI,New VP of Content hired,Marketing
D032,2025-05-29,Fairway Golf,Hospitality,65,11000,Won,None,Sarah Kim,20,Referral,Starter,Personal referral,CEO,Membership & tee-time management,Overbooking and member complaints,Summer season revenue drop,Operations
D033,2025-06-03,Granite Construction,Manufacturing,1600,138000,Lost,SAP,Rachel Torres,115,Executive Outreach,Enterprise,SAP ERP dependency,IT Director,Project cost management,Cost overruns on large projects,Failed government bid due to reporting gaps,Finance
D034,2025-06-07,Horizon Aviation,Logistics,890,86000,Won,Oracle,Marcus Lee,92,Inbound,Enterprise,Compliance features,VP of Operations,Fleet compliance & maintenance tracking,Missed FAA compliance deadlines,FAA inspection failed,Compliance
D035,2025-06-11,Icicle Foods,Retail,310,33500,Won,Salesforce,James Patel,52,Referral,Professional,Better food industry templates,COO,Retail distribution management,Distributor order errors causing spoilage,New retail chain partnership,Operations
D036,2025-06-16,Jasper Analytics,Technology,75,13000,Lost,HubSpot,Sarah Kim,31,Inbound,Starter,Integration gaps,Engineering Manager,Product analytics pipeline,No reliable data on feature usage,Series A investor ask,Product
D037,2025-06-20,Kinetic Robotics,Manufacturing,520,54000,Won,Salesforce,Rachel Torres,78,Partner Referral,Enterprise,IoT integrations,VP of Operations,IoT-connected equipment monitoring,Reactive maintenance causing downtime,New factory floor IoT rollout,Operations
D038,2025-06-24,Lakeshore Banking,Financial Services,740,71000,Lost,Salesforce,Marcus Lee,85,Event,Enterprise,Regulatory concerns,CIO,Risk & compliance reporting,Regulatory reporting taking too long,OCC examination scheduled,Compliance
D039,2025-06-28,Mosaic Advertising,Media,160,20500,Won,HubSpot,James Patel,38,Inbound,Professional,Better campaign analytics,VP of Marketing,Multi-channel campaign management,Campaigns managed across 6 disconnected tools,Lost a major brand account,Marketing
D040,2025-07-03,Nautilus Defense,Government,2200,165000,Won,None,Rachel Torres,140,Executive Outreach,Enterprise,FedRAMP compliance,CIO,Secure document & workflow management,Classified document handling non-compliant,CMMC certification requirement,IT/Security
D041,2025-07-08,Orbit SpaceTech,Technology,280,32000,Lost,HubSpot,Sarah Kim,54,Cold Outreach,Professional,Champion left company,Director of Engineering,Engineering project management,No cross-team project visibility,Post-Series B headcount growth,Engineering
D042,2025-07-12,Pacific Ports,Logistics,1300,115000,Won,Oracle,Marcus Lee,108,Partner Referral,Enterprise,Port management module,COO,Port operations & cargo tracking,Manual cargo manifests causing customs delays,New international trade route opened,Operations
D043,2025-07-17,Quest Pharma,Healthcare,860,83500,Lost,Veeva,James Patel,96,Event,Enterprise,Veeva industry standard,VP of IT,Clinical data & regulatory submissions,FDA submission errors from manual data entry,NDA filing deadline pressure,Regulatory Affairs
D044,2025-07-21,Radiant Solar,Energy,420,41000,Won,None,Sarah Kim,62,Inbound,Professional,Renewable energy templates,VP of Operations,Project pipeline & permitting management,Permit delays killing project timelines,State solar incentive deadline,Operations
D045,2025-07-25,Summit Insurance,Financial Services,530,52000,Lost,Salesforce,Rachel Torres,76,Cold Outreach,Enterprise,Pricing not competitive,CFO,Policy & claims analytics,Inability to forecast claims liability,Actuarial team restructure,Finance
D046,2025-07-30,Terrace Hospitality,Hospitality,195,23000,Won,Zoho,Marcus Lee,40,Referral,Professional,Better multi-property support,COO,Multi-property operations management,No unified reporting across 8 properties,Acquisition of 3 new properties,Operations
D047,2025-08-04,Ultrawave Telecom,Technology,670,64000,Won,Salesforce,James Patel,84,Inbound,Enterprise,API flexibility,CTO,API & developer platform management,No visibility into API usage and failures,Enterprise API tier launch,Engineering
D048,2025-08-08,Vanguard Logistics,Logistics,950,91000,Lost,Oracle,Sarah Kim,102,Executive Outreach,Enterprise,Oracle incumbent,IT Director,Warehouse management modernization,WMS too slow for high-volume throughput,New mega-warehouse opening,IT
D049,2025-08-13,Westbrook Legal,Legal,230,26500,Won,Clio,Rachel Torres,46,Inbound,Professional,Billing features,Managing Partner,Legal billing & matter management,Write-offs from billing disputes,Partner compensation review,Finance
D050,2025-08-18,Xenon Semiconductors,Manufacturing,1700,148000,Won,SAP,Marcus Lee,125,Partner Referral,Enterprise,Manufacturing-specific modules,CTO,Semiconductor yield & production analytics,Yield loss with no root cause visibility,Yield crisis cost $2M last quarter,Manufacturing/Engineering
